CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;ITR;103514;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103514
00.000.208/0001-00;2021-03-31;1;BRB BCO DE BRASILIA S.A.;014206;ITR;103980;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103980
00.000.208/0001-00;2021-03-31;2;BRB BCO DE BRASILIA S.A.;014206;ITR;104654;2021-05-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104654
00.001.180/0001-26;2021-03-31;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;103954;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103954
00.001.180/0001-26;2021-03-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;ITR;105866;2021-06-10;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=105866
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;ITR;104318;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104318
00.192.769/0001-59;2021-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;014613;ITR;104113;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104113
00.272.185/0001-93;2021-03-31;1;CIMS S.A.;014818;ITR;103992;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103992
00.336.701/0001-04;2021-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;104283;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104283
00.359.742/0001-08;2021-03-31;1;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;015423;ITR;104311;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104311
00.383.281/0001-09;2021-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;103999;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103999
00.389.481/0001-79;2021-03-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;024880;ITR;104270;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104270
00.416.968/0001-01;2021-03-31;1;BANCO INTER S.A.;024406;ITR;103839;2021-05-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103839
00.545.378/0001-70;2021-03-31;1;SERRA AZUL WATER PARK SA;014966;ITR;104484;2021-05-17;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104484
00.622.416/0001-41;2021-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;022594;ITR;103896;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103896
00.644.907/0001-93;2021-03-31;1;INVESTCO S.A.;018589;ITR;103936;2021-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103936
00.743.065/0001-27;2021-03-31;1;LITEL PARTICIPACOES S.A.;015091;ITR;104211;2021-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104211
00.776.574/0001-56;2021-03-31;1;AMERICANAS S.A.;020990;ITR;103516;2021-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=103516
00.864.214/0001-06;2021-03-31;1;ENERGISA S.A.;015253;ITR;104143;2021-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=104143
