CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01;Caixa Líquido Atividades Operacionais;-5887.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01;Caixa Líquido Atividades Operacionais;-21697.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.02;Caixa Líquido Atividades de Investimento;-8237.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.02;Caixa Líquido Atividades de Investimento;2514762.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.03;Caixa Líquido Atividades de Financiamento;-62626.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.03;Caixa Líquido Atividades de Financiamento;-99619.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.04;Variação Cambial s/ Caixa e Equivalentes;0.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.05;Aumento (Redução) de Caixa e Equivalentes;-76750.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.05;Aumento (Redução) de Caixa e Equivalentes;2393446.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;465338.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.05.01;Saldo Inicial de Caixa e Equivalentes;136703.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.05.02;Saldo Final de Caixa e Equivalentes;388588.0000000000;S
00.070.698/0001-11;2021-03-31;1;CIA ENERGETICA DE BRASILIA;014451;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.05.02;Saldo Final de Caixa e Equivalentes;2530149.0000000000;S
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01;Caixa Líquido Atividades Operacionais;7119.0000000000;S
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01;Caixa Líquido Atividades Operacionais;-8028.0000000000;S
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.01;Lucro Líquido (Prejuízo) do exercício;-3512.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.01;Lucro Líquido (Prejuízo) do exercício;-15014.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.02;Depreciação;3487.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.02;Depreciação;3770.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.03;Amortização intangível e direito de uso;3398.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.03;Amortização intangível e direito de uso;3546.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.04;Juros sobre emprestimos e financiamentos;654.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.04;Juros sobre emprestimos e financiamentos;682.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.05;Valor residual alienação de ativos imob. e intangível e descontos;1275.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.05;Valor residual alienação de ativos imob. e intangível e descontos;-1168.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.06;Provisão para contingências;129.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.06;Provisão para contingências;-10.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.07;Resultado líquido valor presente e justo e subvenções;1295.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.07;Resultado líquido valor presente e justo e subvenções;1204.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.08;Resultado de mudança de percentual;0.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.08;Resultado de mudança de percentual;0.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.09;Imposto de renda e contribuição social diferidos;-753.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.09;Imposto de renda e contribuição social diferidos;-293.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.10;Aplicações financeiras;716.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.10;Aplicações financeiras;395.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.11;Contas a receber de clientes;2176.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.11;Contas a receber de clientes;772.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.12;Estoques;333.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;6.01.12;Estoques;77.0000000000;N
07.437.016/0001-05;2021-03-31;1;CINESYSTEM S.A.;023965;DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto);REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;6.01.13;Impostos a recuperar;-719.0000000000;N
