CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.01;Lucro ou Prejuízo Líquido do Período;3189276.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.01;Lucro ou Prejuízo Líquido do Período;4157202.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02;Outros Resultados Abrangentes Próprios;851538.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02;Outros Resultados Abrangentes Próprios;8369823.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.01;Valores que serão Reclassificados para o Resultado;-961245.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.01;Valores que serão Reclassificados para o Resultado;-2332954.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda;-1596730.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis p/ venda;-3684605.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.01.02;Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda;-450735.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.01.02;Ganhos/perdas realizados s/ ativos financeiros disponíveis / venda;467583.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.01.03;Efeito tributário s/ ativos financeiros disponíveis para venda;547509.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.01.03;Efeito tributário s/ ativos financeiros disponíveis para venda;841446.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.01.04;Ajustes de conversão de investimentos no exterior;538711.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.01.04;Ajustes de conversão de investimentos no exterior;42622.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.02;Valores que não serão Reclassificados o para o Resultado;1812783.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.02;Valores que não serão Reclassificados o para o Resultado;10702777.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.02.01;Ganhos/perdas em remensurações de planos de benefícios;3301157.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.02.01;Ganhos/perdas em remensurações de planos de benefícios;19842131.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.02.02.02;Efeito tributário em remensurações de planos de benefícios;-1488374.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.02.02.02;Efeito tributário em remensurações de planos de benefícios;-9139354.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03;Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial;-242837.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03;Participação em Resultados Abrangentes de Invest. Avaliados pelo Método de Equivalência Patrimonial;-69459.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.01;Valores que serão Reclassificados para o Resultado;-242837.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.01;Valores que serão Reclassificados para o Resultado;-69459.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis para venda;-424188.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.01.01;Ganhos/perdas ñ realizados s/ ativos financeiros disponíveis para venda;-296787.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.01.02;Ganho/perdas ñ realizados s/ hedge de fluxo de caixa;31130.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.01.02;Ganho/perdas ñ realizados s/ hedge de fluxo de caixa;199203.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.01.03;Ganhos/perdas ñ realizados s/ outros resultados abrangentes;6787.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.01.03;Ganhos/perdas ñ realizados s/ outros resultados abrangentes;-4825.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.01.04;Efeito tributário s/ participação no resultado abrangente de investimentos;143434.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.01.04;Efeito tributário s/ participação no resultado abrangente de investimentos;32950.0000000000;N
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.03.02;Valores que não serão Reclassificados para o Resultado;0.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.03.02;Valores que não serão Reclassificados para o Resultado;0.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2020-01-01;2020-03-31;4.04;Resultado Abrangente do Período;3797977.0000000000;S
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;001023;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2021-01-01;2021-03-31;4.04;Resultado Abrangente do Período;12457566.0000000000;S
